,Company,Date,Price,Share Total,Type,Price_m
134,Vontobel Holding AG,12.09.2017,368670.0,6000,Sale,0.4
135,Comet Holding AG,11.09.2017,69145.0,500,Sale,0.1
136,Julius Bär Gruppe AG,11.09.2017,1624500.0,30000,Sale,1.6
137,Logitech International S.A.,11.09.2017,225779.0,6670,Purchase,0.2
138,Logitech International S.A.,11.09.2017,168664.0,4982,Purchase,0.2
139,Logitech International S.A.,11.09.2017,165719.0,4895,Purchase,0.2
140,Novartis AG,11.09.2017,406500.0,5000,Sale,0.4
141,Züblin Immobilien Holding AG,11.09.2017,2678.0,100,Purchase,0.0
142,Chocoladefabriken Lindt & Sprüngli AG,08.09.2017,110835.0,20,Sale,0.1
143,HIAG Immobilien Holding AG,08.09.2017,10120.0,88,Purchase,0.0
144,Tamedia AG,08.09.2017,5197.0,35,Sale,0.0
145,Ascom Holding AG,07.09.2017,14922.0,803,Sale,0.0
146,Comet Holding AG,07.09.2017,12240.0,90,Sale,0.0
147,INFICON Holding AG,07.09.2017,56650.0,200,Sale,0.1
148,Tamedia AG,07.09.2017,4158.0,28,Sale,0.0
149,Calida Holding AG,06.09.2017,19939.0,536,Purchase,0.0
150,HIAG Immobilien Holding AG,06.09.2017,8943.0,78,Purchase,0.0
151,INFICON Holding AG,06.09.2017,18921.0,68,Sale,0.0
152,Straumann Holding AG,06.09.2017,1215240.0,2000,Purchase,1.2
153,UBS Group AG,06.09.2017,985094.0,63922,Sale,1.0
154,Altin AG,05.09.2017,5019.0,466,Purchase,0.0
155,HBM Healthcare Investments AG,05.09.2017,146006.0,1300,Purchase,0.1
156,Hypothekarbank Lenzburg AG,05.09.2017,40320.0,9,Sale,0.0
157,Komax Holding AG,05.09.2017,532000.0,2000,Sale,0.5
158,LEM Holding SA,05.09.2017,47169.0,40,Purchase,0.0
159,Myriad Group AG,05.09.2017,25000.0,50000,Purchase,0.0
160,Myriad Group AG,05.09.2017,22500.0,45000,Purchase,0.0
161,Tamedia AG,05.09.2017,7276.0,49,Sale,0.0
162,Bossard Holding AG,04.09.2017,208072.0,1000,Sale,0.2
163,HIAG Immobilien Holding AG,04.09.2017,2469.0,22,Purchase,0.0
164,LEM Holding SA,04.09.2017,47052.0,40,Purchase,0.0
165,Varia US Properties AG,04.09.2017,51825.0,1250,Purchase,0.1
166,Ypsomed Holding AG,04.09.2017,21777.0,150,Sale,0.0
167,Allreal Holding AG,01.09.2017,589860.0,3390,Sale,0.6
168,Comet Holding AG,01.09.2017,70518.0,500,Sale,0.1
169,Komax Holding AG,01.09.2017,265000.0,1000,Sale,0.3
170,Siegfried Holding AG,01.09.2017,924750.0,3000,Sale,0.9
171,Straumann Holding AG,01.09.2017,1002780.0,1620,Sale,1.0
172,VZ Holding AG,01.09.2017,111931.0,378,Sale,0.1
173,Bâloise Holding AG,31.08.2017,153300.0,1000,Sale,0.2
174,Comet Holding AG,31.08.2017,40536.0,300,Sale,0.0
175,INFICON Holding AG,31.08.2017,13362.0,50,Sale,0.0
176,Kardex AG,31.08.2017,27877.0,277,Sale,0.0
177,Nestlé AG,31.08.2017,487200.0,6000,Sale,0.5
178,Straumann Holding AG,31.08.2017,1298880.0,2112,Sale,1.3
179,Vontobel Holding AG,31.08.2017,45264.0,736,Sale,0.0
180,APG SGA SA,30.08.2017,71190.0,180,Purchase,0.1
