,0
592,Rosette Thake
593,Simon Busuttil
594,Jean Pierre
595,Adrian Delia
596,Georg Sapiano
597,Adrian Delia
598,Prime Minister
599,Mrs Adrian
600,Armistice Day
601,Brigata Laburista
602,Alexander Borg
603,New York
604,Prime Minister
605,Borg Olivier
606,Nationalist Party
607,Eddie Fenech
608,Guido Demarco
609,Fenech Adami
610,Lawrence Gonzi
611,Simon Busuttil
612,Adrian Delia
613,Borg Olivier
614,Borg Olivier
615,Nationalist Party
616,Eddie Fenech
617,Lawrence Gonzi
618,Nationalist Party
619,George Borg
620,Dom Mintoff
621,Alexander Borg
622,Prime Minister
623,Borg Olivier
624,Dawn Adams
625,Mrs Borg
626,Roman Catholic
627,Mrs Borg
628,Nationalist Party
629,Adrian Delia
630,Nationalist Party
631,Ivan Bartolo
632,Nationalist MP
633,Adrian Delia
634,Great Leader
635,Mr Bartolo
636,Joseph Muscat
637,European Parliament
638,Adrian Delia
639,Joseph Muscat
640,Independence Day
641,Nationalist Party
642,Michael Corleone
643,If Beluga
