,Antwort,Antwortdatum,Kategorie,Lat,Long,Meldedatum,Meldung,URL
29,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:23, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3735754937786,8.52464230323683,"12:17,  3. April 2013","<p>
Pfosten umgefahren</p>",https://www.zueriwieneu.ch/report/32
30,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:23, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3727377914732,8.49804789219006,"07:13,  4. April 2013","<p>
Schachtdeckel eingebrochen</p>",https://www.zueriwieneu.ch/report/35
31,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","13:13, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3728261901693,8.49757756109288,"07:15,  4. April 2013","<p>
Schachtdeckel im Trottoir Stolpergefahr</p>",https://www.zueriwieneu.ch/report/36
32,"
Diese Graffiti wird von uns in den kommenden Wochen entfernt.
","13:48, 23. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.3436937257163,8.51908894909488,"13:21,  4. April 2013","<p>
Schmierereien und Graffiti an der Wand und am Brückenwiderlager</p>",https://www.zueriwieneu.ch/report/37
33,"
Die Störung ist erledigt.
","07:13, 16. April 2013",In der Kategorie Beleuchtung gemeldet,47.368952537439,8.52895251253184,"20:27,  5. April 2013","<p>
Die zwei Huber bei der FGU leuchten immer noch nicht</p>",https://www.zueriwieneu.ch/report/39
34,"
Die Störung ist erledigt.
","07:12, 16. April 2013",In der Kategorie Beleuchtung gemeldet,47.3901750498952,8.512633945615,"16:31,  8. April 2013","<p>
Lampe defekt</p>",https://www.zueriwieneu.ch/report/40
35,"
Die Schaukel ist infolge eines Defektes in Reparatur und wird baldmöglichst wieder montiert. 
","08:46, 10. April 2013",In der Kategorie Spielplatz/Sitzbank gemeldet,47.3866986803917,8.54669023526937,"09:40,  9. April 2013","<p>
Schaukel fehlt auf dem Spielplatz Stolzewiese</p>",https://www.zueriwieneu.ch/report/41
36,"
Für diesen Bereich ist die Dienstabteilung Verkehr zuständig. Wir haben Ihre Meldung weitergeleitet.
","16:25, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3659484105786,8.53115987196353,"08:25, 11. April 2013","<p>
Parktafel ist verbogen</p>",https://www.zueriwieneu.ch/report/42
37,"
Dieser Schaden wird im Rahmen des anstehenden Strassenbauprojekts Kalkbreite bis Langstrasse behoben.
","08:07, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3742820945643,8.5233225772877,"09:12, 11. April 2013","<p>
Der Strassenbelag der Badenerstrasse zwischen Langstrasse und Kalkbreite ist sanierungsbedürftig. Es hat unzählige Löcher im Belag. Das Befahren der Badenerstrasse mit dem Fahrrad ist gefährlich.</p>",https://www.zueriwieneu.ch/report/43
38,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","07:56, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3765458562737,8.54060618320677,"18:42, 11. April 2013","<p>
Ein Bügel des Veloparkplatzes umgeknickt, Fahrrad-Vandalismus</p>",https://www.zueriwieneu.ch/report/46
39,"
Das Areal Oberer Letten soll, seinem Charakter entsprechend, bewusst offen gehalten werden. Daher werden bei den Durchgängen keine Tore montiert. Freundliche Grüsse Ihre Stadt Zürich ","16:55, 18. April 2013",In der Kategorie Tiere/Grünflächen gemeldet,47.3859842495518,8.53469265503314,"12:25, 12. April 2013","<p>
Der Ball rollt ins Wasser da der Durchgang nicht mit einem Tor geschlossen werden kann.</p>",https://www.zueriwieneu.ch/report/50
40,"
Der Ast wird bis spätestens 17.4.2013 abgeräumt. Freundliche Grüsse 
Ihre Stadt Zürich","09:05, 18. April 2013",In der Kategorie Tiere/Grünflächen gemeldet,47.3614528666931,8.57145122130248,"11:06, 16. April 2013","<p>
Grosser Ast runtergefallen</p>",https://www.zueriwieneu.ch/report/54
41,"
Wir beheben diesen Schaden umgehend.
Freundliche Grüsse
","07:54, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3742508354185,8.52830801937296,"12:26, 16. April 2013","<p>
Grosses loch in der strasse, gefährlich für velos und töffs!</p>",https://www.zueriwieneu.ch/report/55
42,"
Diese Reparatur wird von uns in den kommenden  Monaten ausgeführt.
","10:51, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3991013203567,8.54010219440749,"12:52, 16. April 2013","<p>
Schlagloch.</p>",https://www.zueriwieneu.ch/report/56
43,"
Dieses Fahrrad ist am 19. April 2013 abgeholt worden.
","13:48, 23. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.3772866346105,8.54188936579936,"14:49, 16. April 2013","<p>
Dieses defekte Velo versperrt seit Monaten den Platz für funktionsfähige Velos.</p>",https://www.zueriwieneu.ch/report/57
44,"
Wir beheben diesen Schaden umgehend.
","13:53, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3664235686663,8.54824221961752,"15:12, 16. April 2013","<p>
Velowegweiser Route 66 Richtung HB ist um 90° verdreht</p>",https://www.zueriwieneu.ch/report/58
45,"
Wurde am 17.04.2013 erledigt
","07:06, 17. April 2013",In der Kategorie Beleuchtung gemeldet,47.3714697791679,8.51185904271656,"15:21, 16. April 2013","<p>
Defekte Strassenlampen</p>",https://www.zueriwieneu.ch/report/59
46,"
Die Reparatur  der Schlaglöcher wird von uns in den kommenden Wochen ausgeführt. Der Abschnitt in der Regensdorferstrasse wird im Rahmen des anstehenden Strassenbauprojekts behoben.
","08:26, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4204974083608,8.48259344932111,"15:24, 16. April 2013","<p>
Diverse Schlaglöcher und Belagsschäden</p>",https://www.zueriwieneu.ch/report/60
47,"
Dieser Schaden wird im Rahmen des  anstehenden Strassenbauprojekts behoben.
","11:10, 22. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3614920749083,8.60341992142151,"15:27, 16. April 2013","<p>
Strassen und Abfluss in elendem Zustand, bei Hochwasser entsteht ein See...</p>",https://www.zueriwieneu.ch/report/61
48,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:31, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4189791830478,8.54502837780034,"15:47, 16. April 2013","<p>
Grössere Belagsschäden im Kopfsteinpflaster</p>",https://www.zueriwieneu.ch/report/62
49,"
Diese Reparatur wird von uns in den kommenden Wochenausgeführt.
","08:27, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3750941478505,8.5872338382323,"15:57, 16. April 2013","<p>
An mehreren Stellen im Umkreis von ca. 700m in beide Richtungen lose Pflastersteine v.a. am nördlichen Fahrbahnrand (teilweise auf der Fahrbahn), die v.a. nachts sehr gefährlich sein können.</p>",https://www.zueriwieneu.ch/report/63
50,"
Wenn die Baustelle fertig ist, werden neue Bäume gepflanzt. Hier finden Sie weitere Informationen: www.stadt-zuerich.ch/bahnhofstrasse
","15:32, 18. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3697648132947,8.53893399579104,"16:11, 16. April 2013","<p>
Jemand hat die Bäume des Paradeplatzes entwendet.</p>",https://www.zueriwieneu.ch/report/64
51,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:23, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3767398213187,8.53816853198963,"16:22, 16. April 2013","<p>
Ecke Löwenstrasse / Schützengasse: Die Tafel «verbotene Fahrrichtung» ist um 90 Grad verkehrt montiert. Sie zeigt in Richtung Löwenstrasse statt in Richtung Schützengasse. Viele Motorfahrzeuglenkende fahren deshalb unbewusst verbotenerstrasse von der Löwenstrasse in die Schützengasse, die jedoch eine Einbahnstrasse ist.</p>",https://www.zueriwieneu.ch/report/65
52,"
Dieser Schaden wird im Rahmen des laufenden Strassenbauprojekts Albisriederstrasse behoben. Derzeit ist die Strasse gesperrt.
","20:30, 16. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3737946463696,8.47626607126751,"16:56, 16. April 2013","<p>
Diverse Risse und Schlaglöcher</p>",https://www.zueriwieneu.ch/report/68
53,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","11:39, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3669680813234,8.53412921152347,"17:08, 16. April 2013","<p>
Schlagloch und kaputter Randstein</p>",https://www.zueriwieneu.ch/report/69
